distance_km,order_value,rider_availability,shop_delivery_enabled,pickup_enabled,digibazaar_delivery_enabled,shop_rating,avg_prep_time_mins,current_pending_orders,shop_delivery_radius_km,delivery_mode
8.82,293.71,High,1,1,0,2.7,29,43,7.0,pickup
10.62,1669.13,High,1,0,1,3.3,18,2,5.7,shop_delivery
6.71,235.95,High,1,1,0,5.0,8,40,4.2,pickup
6.85,688.82,High,1,1,0,3.4,23,3,7.4,shop_delivery
13.91,2933.68,Low,1,1,1,2.6,21,50,2.9,pickup
8.93,1109.86,Medium,1,1,1,3.9,8,12,6.5,digibazaar_delivery
1.65,764.47,Low,1,1,0,4.5,30,18,4.0,shop_delivery
11.3,1011.28,Medium,0,1,0,4.7,30,3,0.0,pickup
12.12,716.27,Low,1,1,0,3.5,6,27,7.6,pickup
7.03,1246.11,High,1,0,0,3.5,23,0,5.6,shop_delivery
11.16,2628.68,Medium,1,0,0,4.8,23,41,5.8,shop_delivery
6.5,93.74,High,0,1,1,2.6,14,22,0.0,digibazaar_delivery
10.87,1162.79,High,0,1,0,2.6,18,39,0.0,pickup
13.64,2458.58,High,0,0,1,4.0,12,4,0.0,digibazaar_delivery
6.9,1866.8,High,1,0,1,2.5,14,44,4.7,digibazaar_delivery
5.67,937.02,Medium,0,1,0,4.4,22,20,0.0,pickup
8.7,1394.91,Low,1,1,0,3.8,6,27,5.6,pickup
10.51,2968.82,High,1,0,0,4.1,18,45,3.0,shop_delivery
8.09,2997.28,Low,1,0,0,4.0,10,12,3.6,shop_delivery
1.78,2835.75,Medium,0,0,1,4.3,12,4,0.0,digibazaar_delivery
1.66,2329.91,Low,1,0,0,3.5,25,9,2.7,shop_delivery
12.19,2175.5,High,0,1,0,4.3,12,2,0.0,pickup
8.36,461.89,Low,1,0,0,3.3,12,30,5.7,shop_delivery
3.07,1567.73,Low,0,1,1,4.1,13,39,0.0,pickup
14.61,114.13,Low,1,0,0,3.5,30,26,4.7,shop_delivery
11.23,2620.09,Low,0,0,1,2.7,26,32,0.0,digibazaar_delivery
9.18,2158.51,Low,1,1,1,3.9,14,15,4.2,pickup
6.27,101.3,High,1,1,1,3.0,30,45,2.0,shop_delivery
8.28,2549.15,High,0,0,1,4.5,10,27,0.0,digibazaar_delivery
12.61,2417.65,Low,1,1,1,4.3,26,10,4.3,pickup
5.64,274.36,Medium,0,1,0,2.9,17,6,0.0,pickup
1.45,182.04,Medium,1,1,0,2.7,13,45,3.0,shop_delivery
9.48,1510.33,High,1,1,1,4.0,6,47,4.3,digibazaar_delivery
3.05,1364.25,Low,0,1,1,4.1,27,6,0.0,pickup
14.61,1339.19,Medium,1,0,0,2.6,23,38,6.3,shop_delivery
5.3,2451.41,Low,1,0,0,3.7,15,39,5.8,shop_delivery
3.24,2773.67,Medium,0,1,1,3.8,26,32,0.0,digibazaar_delivery
