distance_km,order_value,rider_availability,shop_delivery_enabled,pickup_enabled,digibazaar_delivery_enabled,shop_rating,avg_prep_time_mins,current_pending_orders,shop_delivery_radius_km,delivery_mode
3.29,1669.41,Medium,0,1,0,4.8,15,36,0.0,pickup
14.92,1989.08,Medium,1,1,1,3.9,20,30,6.0,digibazaar_delivery
9.73,2436.67,High,0,1,0,5.0,23,4,0.0,pickup
12.23,429.28,High,1,0,1,4.9,25,26,7.0,digibazaar_delivery
2.85,1662.56,Medium,0,0,1,2.9,14,32,0.0,digibazaar_delivery
2.26,1963.69,Medium,1,1,0,3.6,25,39,6.3,shop_delivery
5.24,955.48,High,1,0,0,4.7,7,15,7.6,shop_delivery
4.18,1524.88,Medium,1,0,1,3.9,13,23,2.5,shop_delivery
13.58,2663.55,High,1,0,1,4.0,9,29,2.3,digibazaar_delivery
9.5,1845.64,High,0,1,1,3.8,30,37,0.0,digibazaar_delivery
7.62,1549.72,Medium,1,1,1,4.2,22,9,7.6,digibazaar_delivery
13.73,1013.76,High,0,0,1,4.5,22,22,0.0,digibazaar_delivery
6.98,1760.68,Low,0,0,1,2.7,19,28,0.0,digibazaar_delivery
3.12,1335.32,High,1,0,1,4.5,7,27,2.3,digibazaar_delivery
12.81,239.81,Medium,0,0,1,4.3,15,0,0.0,digibazaar_delivery
2.74,2479.29,High,1,1,0,3.3,13,42,8.0,shop_delivery
4.51,2904.46,High,1,0,0,3.5,22,3,6.7,shop_delivery
10.45,1203.96,Low,1,0,1,3.7,26,37,6.1,digibazaar_delivery
1.68,1698.63,Low,0,1,1,3.4,10,49,0.0,pickup
2.72,2678.56,Medium,0,1,0,3.2,22,42,0.0,pickup
2.48,1412.23,Medium,0,1,1,2.8,22,34,0.0,digibazaar_delivery
14.48,1803.11,High,1,0,0,3.3,27,3,7.7,shop_delivery
9.71,174.35,High,0,0,1,2.6,26,6,0.0,digibazaar_delivery
5.72,1184.6,Medium,0,1,0,3.3,8,50,0.0,pickup
4.22,2184.23,High,1,1,1,2.7,12,13,6.1,digibazaar_delivery
8.92,593.5,Low,1,0,1,3.9,10,14,5.2,digibazaar_delivery
9.99,2731.63,Medium,0,1,0,3.2,23,26,0.0,pickup
4.5,330.18,Medium,1,0,1,4.9,20,8,2.0,digibazaar_delivery
0.48,2366.65,Low,1,0,1,3.8,13,17,4.3,shop_delivery
5.44,283.79,Medium,0,0,1,3.4,14,35,0.0,digibazaar_delivery
5.38,566.25,Low,1,1,1,4.1,18,22,6.8,shop_delivery
2.22,1323.6,Medium,0,0,1,2.8,24,33,0.0,digibazaar_delivery
0.45,2444.2,Medium,0,1,1,3.4,11,33,0.0,digibazaar_delivery
11.36,2876.7,Low,1,1,1,4.6,19,31,2.7,pickup
11.22,1589.12,Medium,1,0,1,3.7,17,35,2.6,digibazaar_delivery
1.82,2148.19,High,0,1,1,3.8,22,6,0.0,digibazaar_delivery
3.02,2433.36,High,1,1,1,3.9,19,15,3.5,digibazaar_delivery
5.85,290.99,Medium,0,1,1,4.7,23,31,0.0,digibazaar_delivery
8.4,973.09,Medium,1,1,1,3.5,11,46,4.8,digibazaar_delivery
2.14,2090.89,High,1,1,0,4.8,16,29,7.1,shop_delivery
9.76,1764.8,Low,0,1,1,2.9,7,35,0.0,pickup
4.24,1776.48,High,0,1,1,4.9,5,9,0.0,digibazaar_delivery
3.2,914.5,High,0,0,1,3.9,5,49,0.0,digibazaar_delivery
5.98,2287.01,High,1,0,1,4.2,25,26,4.2,digibazaar_delivery
11.77,1570.92,High,0,1,0,2.7,11,39,0.0,pickup
7.45,1784.72,High,1,1,0,4.7,15,50,3.7,pickup
12.43,774.74,Medium,0,0,1,4.4,13,7,0.0,digibazaar_delivery
6.49,1564.87,Medium,1,1,0,4.6,5,16,7.1,shop_delivery
6.88,2587.81,High,0,1,0,3.4,6,40,0.0,pickup
11.43,1906.76,High,1,0,1,3.8,23,49,4.1,digibazaar_delivery
14.52,166.59,Low,0,1,1,3.2,6,12,0.0,pickup
5.75,1083.83,High,0,1,0,4.5,15,0,0.0,pickup
11.07,2105.31,Medium,1,1,0,4.5,16,4,4.4,pickup
1.09,907.73,Medium,1,1,0,4.2,9,41,5.6,shop_delivery
0.31,1590.39,High,0,0,1,4.7,10,28,0.0,digibazaar_delivery
11.19,2115.22,Low,0,0,1,4.6,21,48,0.0,digibazaar_delivery
10.67,772.17,Low,1,1,1,4.9,10,24,6.2,pickup
13.03,2144.67,High,0,1,1,3.4,20,2,0.0,digibazaar_delivery
10.62,2461.8,High,1,1,1,4.6,26,12,6.7,pickup
0.32,2870.24,High,0,0,1,4.1,7,37,0.0,digibazaar_delivery
8.28,2688.66,Medium,0,1,0,2.6,10,13,0.0,pickup
4.39,2613.64,Medium,0,0,1,2.7,16,19,0.0,digibazaar_delivery
7.42,1377.18,Medium,0,1,1,2.8,8,32,0.0,digibazaar_delivery
13.23,2756.98,High,1,0,1,3.4,11,21,7.9,digibazaar_delivery
0.31,1297.3,Low,1,0,0,2.7,30,1,5.5,shop_delivery
8.38,2236.05,Low,0,1,1,3.4,13,7,0.0,pickup
7.75,1471.44,High,1,1,0,3.6,6,43,4.1,pickup
2.76,2068.0,Medium,1,0,1,4.4,12,22,2.8,digibazaar_delivery
7.51,730.4,High,1,0,0,4.9,24,22,6.0,shop_delivery
1.67,154.07,Low,1,1,1,3.0,5,28,2.7,shop_delivery
2.22,65.74,Low,0,0,1,4.8,26,26,0.0,digibazaar_delivery
13.21,1511.85,Medium,1,0,1,4.1,13,16,7.2,digibazaar_delivery
14.52,1548.14,High,0,1,1,2.6,21,12,0.0,digibazaar_delivery
5.31,908.44,Medium,0,0,1,2.9,11,14,0.0,digibazaar_delivery
11.5,2656.83,Low,0,0,1,4.5,19,28,0.0,digibazaar_delivery
7.35,2522.89,Low,0,0,1,3.7,27,42,0.0,digibazaar_delivery
7.71,1500.75,Medium,1,1,1,3.1,17,35,6.3,digibazaar_delivery
5.7,2281.37,Low,0,0,1,4.1,9,6,0.0,digibazaar_delivery
3.19,1972.49,High,1,1,1,2.9,16,5,2.0,digibazaar_delivery
12.99,2655.6,Low,1,1,1,4.9,6,34,6.8,pickup
3.19,63.26,Low,0,1,0,4.2,10,33,0.0,pickup
9.01,2092.49,High,1,0,0,3.7,8,42,7.0,shop_delivery
4.81,977.4,High,0,0,1,2.6,5,22,0.0,digibazaar_delivery
0.59,2775.13,Medium,1,0,0,2.8,13,30,4.6,shop_delivery
3.58,2269.53,Medium,1,0,0,2.6,17,13,6.7,shop_delivery
4.29,1261.99,Medium,0,0,1,2.6,19,26,0.0,digibazaar_delivery
2.46,2616.79,High,1,0,1,3.2,24,10,3.1,digibazaar_delivery
10.75,2663.33,Medium,0,0,1,3.9,25,36,0.0,digibazaar_delivery
8.32,2835.45,High,0,0,1,4.1,24,42,0.0,digibazaar_delivery
1.34,1506.56,High,0,1,0,2.7,29,40,0.0,pickup
1.84,893.73,Low,0,0,1,4.7,23,16,0.0,digibazaar_delivery
11.67,715.94,High,0,1,0,4.5,5,42,0.0,pickup
9.31,2248.55,Medium,1,0,0,5.0,21,9,5.3,shop_delivery
12.96,2015.51,Low,1,1,0,3.4,8,23,6.0,pickup
5.29,1302.11,High,0,1,1,4.7,27,42,0.0,digibazaar_delivery
2.0,2455.64,Medium,1,0,1,4.1,12,19,4.7,digibazaar_delivery
7.88,1533.45,Low,1,1,1,4.1,28,2,5.3,pickup
1.46,2329.23,Medium,0,0,1,3.5,12,26,0.0,digibazaar_delivery
8.37,1474.85,Medium,0,0,1,2.7,10,35,0.0,digibazaar_delivery
5.14,1276.68,High,1,1,1,4.9,12,49,4.9,digibazaar_delivery
8.73,206.44,Medium,0,1,1,4.2,23,40,0.0,digibazaar_delivery
11.05,540.97,Medium,1,1,0,2.9,21,32,4.2,pickup
12.62,1796.29,High,0,0,1,2.9,11,3,0.0,digibazaar_delivery
1.3,2869.66,Low,0,0,1,4.6,10,29,0.0,digibazaar_delivery
7.79,2843.04,Low,0,0,1,4.0,19,27,0.0,digibazaar_delivery
11.82,1984.85,Medium,1,1,1,3.4,16,47,4.1,digibazaar_delivery
5.78,2002.3,Low,0,1,0,4.2,14,12,0.0,pickup
10.8,209.03,Medium,0,1,0,4.6,30,27,0.0,pickup
11.69,2450.75,Low,1,0,1,4.9,10,6,2.2,digibazaar_delivery
8.69,2749.58,High,1,1,0,3.5,22,40,7.8,pickup
6.39,2326.18,Medium,1,0,0,4.3,20,38,7.6,shop_delivery
6.89,2001.47,High,1,0,1,3.8,5,32,3.8,digibazaar_delivery
11.31,2567.13,Medium,0,0,1,3.4,7,7,0.0,digibazaar_delivery
2.34,2929.77,Low,0,1,0,2.6,8,28,0.0,pickup
11.97,395.83,Low,1,1,1,4.8,28,4,4.1,pickup
10.19,2683.16,High,1,0,1,2.9,27,2,6.8,digibazaar_delivery
3.95,2958.26,Low,0,0,1,4.1,7,13,0.0,digibazaar_delivery
1.37,2854.16,Low,0,1,1,3.5,7,2,0.0,pickup
4.53,1646.22,Low,0,0,1,3.1,19,4,0.0,digibazaar_delivery
9.22,2527.7,Low,1,0,0,4.4,24,32,6.2,shop_delivery
8.92,2730.27,High,0,1,0,3.5,18,21,0.0,pickup
2.06,2478.62,Low,1,0,0,2.7,8,6,6.2,shop_delivery
5.97,277.5,Low,1,1,1,3.4,5,9,3.9,pickup
12.9,314.99,Low,0,0,1,4.6,23,42,0.0,digibazaar_delivery
3.13,1203.86,Low,1,0,0,3.9,8,28,3.8,shop_delivery
6.87,2283.17,High,1,1,0,3.8,30,13,3.7,pickup
4.9,1936.01,Medium,0,1,0,3.2,25,27,0.0,pickup
10.28,2706.73,High,0,1,1,4.8,24,3,0.0,digibazaar_delivery
3.93,1294.38,Low,0,0,1,4.7,29,50,0.0,digibazaar_delivery
5.87,355.0,Medium,0,1,1,2.9,8,14,0.0,digibazaar_delivery
1.08,1028.34,Medium,1,0,0,4.8,5,24,8.0,shop_delivery
11.18,1477.38,High,1,0,0,3.3,12,2,2.8,shop_delivery
1.15,2074.24,Low,1,0,0,3.1,6,33,4.3,shop_delivery
2.72,1313.16,High,1,1,0,4.0,13,24,3.5,shop_delivery
6.6,616.33,High,1,0,0,4.4,10,13,6.7,shop_delivery
8.34,2890.17,Medium,0,1,1,3.3,26,23,0.0,digibazaar_delivery
0.38,2165.92,Low,0,1,0,4.8,18,6,0.0,pickup
12.79,453.04,Medium,1,0,1,2.6,30,30,5.0,digibazaar_delivery
8.86,1282.14,Medium,1,1,1,4.2,10,28,5.3,digibazaar_delivery
